vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
veh2,490,0.490424,,0,CAM,2,,490
veh2,690,0.690424,,0,CAM,2,,690
veh2,890,0.890424,,0,CAM,2,,890
veh2,1090,1.09042,,0,CAM,2,,1090
veh2,1290,1.29042,,0,CAM,2,,1290
veh2,1490,1.49042,,0,CAM,2,,1490
veh2,1590,1.59042,,0,CAM,2,,1590
veh2,1690,1.69042,,0,CAM,2,,1690
veh2,1790,1.79042,,0,CAM,2,,1790
veh2,1890,1.89042,,0,CAM,2,,1890
veh2,1990,1.99042,,0,CAM,2,,1990
veh2,2034,,2.04658,1,CAM,11,2,2034
veh2,2090,2.09042,,0,CAM,2,,2090
veh2,2106,,2.11383,1,CAM,10,2,2106
veh2,2134,,2.13808,1,CAM,11,2,2134
veh2,2234,,2.23808,1,CAM,11,2,2234
veh2,2290,2.29042,,0,CAM,2,,2290
veh2,2306,,2.31383,1,CAM,10,2,2306
veh2,2334,,2.33808,1,CAM,11,2,2334
veh2,2490,2.49042,,0,CAM,2,,2490
veh2,2506,,2.51383,1,CAM,10,2,2506
veh2,2534,,2.53808,1,CAM,11,2,2534
veh2,2547,,2.54983,1,CAM,12,2,2547
veh2,2647,,2.64983,1,CAM,12,2,2647
veh2,2690,2.69042,,0,CAM,2,,2690
veh2,2706,,2.71383,1,CAM,10,2,2706
veh2,2734,,2.73808,1,CAM,11,2,2734
veh2,2747,,2.74983,1,CAM,12,2,2747
veh2,2847,,2.84983,1,CAM,12,2,2847
veh2,2890,2.89042,,0,CAM,2,,2890
veh2,2934,,2.93808,1,CAM,11,2,2934
veh2,2947,,2.94983,1,CAM,12,2,2947
veh2,3006,,3.01833,1,CAM,10,2,3006
veh2,3047,,3.04983,1,CAM,12,2,3047
veh2,3090,3.09042,,0,CAM,2,,3090
veh2,3147,,3.16208,1,CAM,12,2,3147
veh2,3290,3.29042,,0,CAM,2,,3290
veh2,3347,,3.36208,1,CAM,12,2,3347
veh2,3334,,3.45908,1,CAM,11,2,3334
veh2,3490,3.49042,,0,CAM,2,,3490
veh2,3406,,3.51108,1,CAM,10,2,3406
veh2,3534,,3.55108,1,CAM,11,2,3534
veh2,3547,,3.56208,1,CAM,12,2,3547
veh2,3690,3.69042,,0,CAM,2,,3690
veh2,3606,,3.71108,1,CAM,10,2,3606
veh2,3734,,3.75108,1,CAM,11,2,3734
veh2,3747,,3.76208,1,CAM,12,2,3747
veh2,3890,3.89042,,0,CAM,2,,3890
veh2,3806,,3.91108,1,CAM,10,2,3806
veh2,3947,,3.96208,1,CAM,12,2,3947
veh2,4034,,4.05908,1,CAM,11,2,4034
veh2,4090,4.09042,,0,CAM,2,,4090
veh2,4106,,4.12308,1,CAM,10,2,4106
veh2,4147,,4.15758,1,CAM,12,2,4147
