time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.01008,veh4,drop_decision_no_action,10,2008,133,-1,-1,-1,-1,-1
2.01233,veh4,drop_decision_no_action,2,2010,138,-1,-1,-1,-1,-1
2.01608,veh4,drop_decision_no_action,5,2007,132,-1,-1,-1,-1,-1
2.03608,veh4,drop_decision_no_action,5,2022,154,-1,-1,-1,-1,-1
2.04283,veh4,drop_decision_no_action,3,2035,171,-1,-1,-1,-1,-1
2.04908,veh4,drop_decision_no_action,7,2035,172,-1,-1,-1,-1,-1
2.05458,veh4,drop_decision_no_action,6,2052,196,-1,-1,-1,-1,-1
2.06358,veh4,drop_decision_no_action,9,2050,194,-1,-1,-1,-1,-1
2.11008,veh4,drop_decision_no_action,10,2108,246,-1,-1,-1,-1,-1
2.13408,veh4,drop_decision_no_action,8,2131,264,-1,-1,-1,-1,-1
2.13608,veh4,drop_decision_no_action,5,2122,257,-1,-1,-1,-1,-1
2.14283,veh4,drop_decision_no_action,3,2133,269,-1,-1,-1,-1,-1
2.14283,veh4,drop_decision_no_action,3,2135,269,-1,-1,-1,-1,-1
2.14908,veh4,drop_decision_no_action,7,2135,273,-1,-1,-1,-1,-1
2.14908,veh4,drop_decision_no_action,7,2142,273,-1,-1,-1,-1,-1
2.15458,veh4,drop_decision_no_action,6,2152,302,-1,-1,-1,-1,-1
2.17458,veh4,drop_decision_no_action,6,2161,318,-1,-1,-1,-1,-1
2.19008,veh4,drop_decision_no_action,10,2179,334,-1,-1,-1,-1,-1
2.20708,veh4,drop_decision_no_action,8,2186,343,-1,-1,-1,-1,-1
2.21008,veh4,drop_decision_no_action,10,2208,374,-1,-1,-1,-1,-1
2.21233,veh4,drop_decision_no_action,2,2196,360,-1,-1,-1,-1,-1
2.21608,veh4,drop_decision_no_action,5,2207,372,-1,-1,-1,-1,-1
2.23608,veh4,drop_decision_no_action,5,2222,398,-1,-1,-1,-1,-1
2.24283,veh4,drop_decision_no_action,3,2235,419,-1,-1,-1,-1,-1
2.24908,veh4,drop_decision_no_action,7,2235,420,-1,-1,-1,-1,-1
2.25458,veh4,drop_decision_no_action,9,2250,442,-1,-1,-1,-1,-1
2.27458,veh4,drop_decision_no_action,9,2262,457,-1,-1,-1,-1,-1
2.31008,veh4,drop_decision_no_action,10,2308,497,-1,-1,-1,-1,-1
2.33408,veh4,drop_decision_no_action,8,2331,516,-1,-1,-1,-1,-1
2.33608,veh4,drop_decision_no_action,5,2322,509,-1,-1,-1,-1,-1
2.34283,veh4,drop_decision_no_action,3,2333,521,-1,-1,-1,-1,-1
2.34283,veh4,drop_decision_no_action,3,2335,521,-1,-1,-1,-1,-1
2.34908,veh4,drop_decision_no_action,7,2335,525,-1,-1,-1,-1,-1
2.34908,veh4,drop_decision_no_action,7,2342,525,-1,-1,-1,-1,-1
2.35458,veh4,drop_decision_no_action,6,2352,554,-1,-1,-1,-1,-1
