vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid
veh10,9024,,9.03758,1,CAM,3,10,9024,-1
veh10,9064,,9.06483,1,CAM,7,10,9064,-1
veh10,9061,,9.06733,1,CAM,8,10,9061,-1
veh10,9089,,9.09608,1,CAM,9,10,9089,-1
veh10,9123,,9.13433,1,CAM,2,10,9123,-1
veh10,9124,,9.13758,1,CAM,3,10,9124,-1
veh10,9134,,9.14433,1,CAM,6,10,9134,-1
veh10,9137,,9.14808,1,CAM,5,10,9137,-1
veh10,9161,,9.16733,1,CAM,8,10,9161,-1
veh10,9175,,9.19233,1,CAM,4,10,9175,-1
veh10,9224,,9.23758,1,CAM,3,10,9224,-1
veh10,9261,,9.26733,1,CAM,8,10,9261,-1
veh10,9324,,9.33758,1,CAM,3,10,9324,-1
veh10,9337,,9.34183,1,CAM,5,10,9337,-1
veh10,9361,,9.36733,1,CAM,8,10,9361,-1
veh10,9364,,9.37933,1,CAM,7,10,9364,-1
veh10,9375,,9.38958,1,CAM,4,10,9375,-1
veh10,9389,,9.39833,1,CAM,9,10,9389,-1
veh10,9424,,9.43758,1,CAM,3,10,9424,-1
veh10,9434,,9.43983,1,CAM,6,10,9434,-1
veh10,9461,,9.46708,1,CAM,8,10,9461,-1
veh10,9524,,9.53758,1,CAM,3,10,9524,-1
veh10,9537,,9.54183,1,CAM,5,10,9537,-1
veh10,9575,,9.58958,1,CAM,4,10,9575,-1
veh10,9624,,9.63758,1,CAM,3,10,9624,-1
veh10,9670,9.67079,,0,CAM,10,,9670,-1
veh10,9664,,9.67933,1,CAM,7,10,9664,-1
veh10,9689,,9.69833,1,CAM,9,10,9689,-1
veh10,9734,,9.73983,1,CAM,6,10,9734,-1
veh10,9737,,9.74183,1,CAM,5,10,9737,-1
veh10,9761,,9.76708,1,CAM,8,10,9761,-1
veh10,9775,,9.78958,1,CAM,4,10,9775,-1
veh10,9937,,9.94183,1,CAM,5,10,9937,-1
veh10,9970,9.97079,,0,CAM,10,,9970,-1
veh10,9964,,9.97933,1,CAM,7,10,9964,-1
veh10,9989,,9.99833,1,CAM,9,10,9989,-1
veh10,10024,,10.0338,1,CAM,3,10,10024,-1
veh10,10034,,10.0398,1,CAM,6,10,10034,-1
veh10,10061,,10.0671,1,CAM,8,10,10061,-1
veh10,10089,,10.0983,1,CAM,9,10,10089,-1
veh10,10123,,10.1341,1,CAM,2,10,10123,-1
veh10,10137,,10.1418,1,CAM,5,10,10137,-1
veh10,10175,,10.1896,1,CAM,4,10,10175,-1
veh10,10189,,10.1983,1,CAM,9,10,10189,-1
veh10,10270,10.2708,,0,CAM,10,,10270,-1
veh10,10264,,10.2793,1,CAM,7,10,10264,-1
veh10,10289,,10.2983,1,CAM,9,10,10289,-1
veh10,10334,,10.3398,1,CAM,6,10,10334,-1
veh10,10337,,10.3418,1,CAM,5,10,10337,-1
veh10,10361,,10.3671,1,CAM,8,10,10361,-1
veh10,10375,,10.3896,1,CAM,4,10,10375,-1
veh10,10389,,10.3983,1,CAM,9,10,10389,-1
veh10,10424,,10.4338,1,CAM,3,10,10424,-1
veh10,10489,,10.4983,1,CAM,9,10,10489,-1
veh10,10537,,10.5433,1,CAM,5,10,10537,-1
veh10,10570,10.5708,,0,CAM,10,,10570,-1
veh10,10564,,10.5841,1,CAM,7,10,10564,-1
veh10,10575,,10.5896,1,CAM,4,10,10575,-1
veh10,10634,,10.6398,1,CAM,6,10,10634,-1
veh10,10661,,10.6671,1,CAM,8,10,10661,-1
veh10,10737,,10.7433,1,CAM,5,10,10737,-1
veh10,10775,,10.7886,1,CAM,4,10,10775,-1
veh10,10789,,10.8101,1,CAM,9,10,10789,-1
veh10,10824,,10.8338,1,CAM,3,10,10824,-1
veh10,10870,10.8708,,0,CAM,10,,10870,-1
veh10,10864,,10.8841,1,CAM,7,10,10864,-1
veh10,10934,,10.9396,1,CAM,6,10,10934,-1
veh10,10961,,10.9691,1,CAM,8,10,10961,-1
veh10,10975,,10.9886,1,CAM,4,10,10975,-1
veh10,11037,,11.0433,1,CAM,5,10,11037,-1
veh10,11061,,11.0691,1,CAM,8,10,11061,-1
veh10,11089,,11.1101,1,CAM,9,10,11089,-1
veh10,11123,,11.1398,1,CAM,2,10,11123,-1
veh10,11161,,11.1691,1,CAM,8,10,11161,-1
veh10,11170,11.1708,,0,CAM,10,,11170,-1
veh10,11164,,11.1841,1,CAM,7,10,11164,-1
veh10,11224,,11.2338,1,CAM,3,10,11224,-1
veh10,11234,,11.2396,1,CAM,6,10,11234,-1
veh10,11261,,11.2691,1,CAM,8,10,11261,-1
veh10,11270,11.2708,,0,CAM,10,,11270,-1
veh10,11275,,11.2886,1,CAM,4,10,11275,-1
veh10,11334,,11.3396,1,CAM,6,10,11334,-1
veh10,11337,,11.3433,1,CAM,5,10,11337,-1
veh10,11361,,11.3691,1,CAM,8,10,11361,-1
veh10,11370,11.3708,,0,CAM,10,,11370,-1
veh10,11364,,11.3841,1,CAM,7,10,11364,-1
veh10,11389,,11.4101,1,CAM,9,10,11389,-1
veh10,11434,,11.4396,1,CAM,6,10,11434,-1
veh10,11461,,11.4703,1,CAM,8,10,11461,-1
veh10,11470,11.4708,,0,CAM,10,,11470,-1
veh10,11534,,11.5396,1,CAM,6,10,11534,-1
veh10,11537,,11.5433,1,CAM,5,10,11537,-1
veh10,11561,,11.5703,1,CAM,8,10,11561,-1
veh10,11570,11.5708,,0,CAM,10,,11570,-1
veh10,11564,,11.5736,1,CAM,7,10,11564,-1
veh10,11575,,11.5886,1,CAM,4,10,11575,-1
veh10,11634,,11.6396,1,CAM,6,10,11634,-1
veh10,11624,,11.6431,1,CAM,3,10,11624,-1
veh10,11661,,11.6703,1,CAM,8,10,11661,-1
veh10,11670,11.6708,,0,CAM,10,,11670,-1
veh10,11689,,11.7071,1,CAM,9,10,11689,-1
veh10,11734,,11.7396,1,CAM,6,10,11734,-1
veh10,11737,,11.7433,1,CAM,5,10,11737,-1
veh10,11770,11.7708,,0,CAM,10,,11770,-1
veh10,11764,,11.7736,1,CAM,7,10,11764,-1
veh10,11834,,11.8396,1,CAM,6,10,11834,-1
veh10,11870,11.8708,,0,CAM,10,,11870,-1
veh10,11937,,11.9383,1,CAM,5,10,11937,-1
veh10,11934,,11.9543,1,CAM,6,10,11934,-1
veh10,11961,,11.9703,1,CAM,8,10,11961,-1
veh10,11964,,11.9736,1,CAM,7,10,11964,-1
veh10,12024,,12.0431,1,CAM,3,10,12024,-1
veh10,12034,,12.0543,1,CAM,6,10,12034,-1
veh10,11989,,12.1071,1,CAM,9,10,11989,-1
veh10,12089,,12.1071,1,CAM,9,10,12089,-1
veh10,12123,,12.1323,1,CAM,2,10,12123,-1
veh10,12137,,12.1383,1,CAM,5,10,12137,-1
veh10,12134,,12.1543,1,CAM,6,10,12134,-1
veh10,12170,12.1708,,0,CAM,10,,12170,-1
veh10,12164,,12.1733,1,CAM,7,10,12164,-1
veh10,12189,,12.2051,1,CAM,9,10,12189,-1
veh10,12234,,12.2543,1,CAM,6,10,12234,-1
veh10,12261,,12.2703,1,CAM,8,10,12261,-1
veh10,12289,,12.3051,1,CAM,9,10,12289,-1
veh10,12337,,12.3383,1,CAM,5,10,12337,-1
veh10,12275,,12.3671,1,CAM,4,10,12275,-1
veh10,12364,,12.3733,1,CAM,7,10,12364,-1
veh10,12375,,12.3871,1,CAM,4,10,12375,-1
veh10,12389,,12.4051,1,CAM,9,10,12389,-1
veh10,12424,,12.4491,1,CAM,3,10,12424,-1
veh10,12470,12.4708,,0,CAM,10,,12470,-1
veh10,12470,,12.4848,1,CAM,11,10,12470,-1
veh10,12475,,12.4871,1,CAM,4,10,12475,-1
veh10,12489,,12.5051,1,CAM,9,10,12489,-1
veh10,12561,,12.5663,1,CAM,8,10,12561,-1
veh10,12564,,12.5733,1,CAM,7,10,12564,-1
veh10,12575,,12.5903,1,CAM,4,10,12575,-1
veh10,12537,,12.6383,1,CAM,5,10,12537,-1
veh10,12634,,12.6418,1,CAM,6,10,12634,-1
veh10,12675,,12.6903,1,CAM,4,10,12675,-1
veh10,12770,12.7708,,0,CAM,10,,12770,-1
veh10,12770,,12.7818,1,CAM,11,10,12770,-1
veh10,12775,,12.7903,1,CAM,4,10,12775,-1
veh10,12789,,12.8051,1,CAM,9,10,12789,-1
veh10,12737,,12.8383,1,CAM,5,10,12737,-1
veh10,12824,,12.8491,1,CAM,3,10,12824,-1
veh10,12861,,12.8663,1,CAM,8,10,12861,-1
veh10,12875,,12.8903,1,CAM,4,10,12875,-1
veh10,12970,12.9708,,0,CAM,10,,12970,-1
veh10,12964,,12.9733,1,CAM,7,10,12964,-1
veh10,12975,,12.9903,1,CAM,4,10,12975,-1
veh10,12937,,13.0383,1,CAM,5,10,12937,-1
veh10,13034,,13.0418,1,CAM,6,10,13034,-1
veh10,13070,13.0708,,0,CAM,10,,13070,-1
veh10,13070,,13.0818,1,CAM,11,10,13070,-1
veh10,13075,,13.0903,1,CAM,4,10,13075,-1
veh10,13089,,13.1053,1,CAM,9,10,13089,-1
veh10,13123,,13.1328,1,CAM,2,10,13123,-1
veh10,13161,,13.1663,1,CAM,8,10,13161,-1
veh10,13170,13.1708,,0,CAM,10,,13170,-1
veh10,13175,,13.1903,1,CAM,4,10,13175,-1
veh10,13224,,13.2311,1,CAM,3,10,13224,-1
veh10,13137,,13.2383,1,CAM,5,10,13137,-1
veh10,13270,13.2708,,0,CAM,10,,13270,-1
veh10,13264,,13.2733,1,CAM,7,10,13264,-1
veh10,13275,,13.2866,1,CAM,4,10,13275,-1
veh10,13334,,13.3418,1,CAM,6,10,13334,-1
veh10,13370,13.3708,,0,CAM,10,,13370,-1
veh10,13370,,13.3818,1,CAM,11,10,13370,-1
veh10,13375,,13.3866,1,CAM,4,10,13375,-1
veh10,13389,,13.4053,1,CAM,9,10,13389,-1
veh10,13337,,13.4148,1,CAM,5,10,13337,-1
veh10,13424,,13.4311,1,CAM,3,10,13424,-1
veh10,13470,13.4708,,0,CAM,10,,13470,-1
veh10,13461,,13.4738,1,CAM,8,10,13461,-1
veh10,13475,,13.4866,1,CAM,4,10,13475,-1
veh10,13537,,13.5548,1,CAM,5,10,13537,-1
veh10,13564,,13.5741,1,CAM,7,10,13564,-1
veh10,13575,,13.5866,1,CAM,4,10,13575,-1
veh10,13624,,13.6311,1,CAM,3,10,13624,-1
veh10,13634,,13.6418,1,CAM,6,10,13634,-1
veh10,13670,,13.6751,1,CAM,11,10,13670,-1
veh10,13675,,13.6866,1,CAM,4,10,13675,-1
veh10,13689,,13.7006,1,CAM,9,10,13689,-1
veh10,13737,,13.7548,1,CAM,5,10,13737,-1
veh10,13770,13.7708,,0,CAM,10,,13770,-1
veh10,13761,,13.7738,1,CAM,8,10,13761,-1
veh10,13775,,13.7866,1,CAM,4,10,13775,-1
veh10,13824,,13.8311,1,CAM,3,10,13824,-1
veh10,13864,,13.8741,1,CAM,7,10,13864,-1
veh10,13875,,13.8866,1,CAM,4,10,13875,-1
veh10,13934,,13.9391,1,CAM,6,10,13934,-1
veh10,13937,,13.9548,1,CAM,5,10,13937,-1
veh10,13970,,13.9751,1,CAM,11,10,13970,-1
veh10,13975,,13.9868,1,CAM,4,10,13975,-1
veh10,13989,,14.0006,1,CAM,9,10,13989,-1
veh10,14024,,14.0311,1,CAM,3,10,14024,-1
veh10,14070,14.0708,,0,CAM,10,,14070,-1
veh10,14061,,14.0738,1,CAM,8,10,14061,-1
veh10,14075,,14.0868,1,CAM,4,10,14075,-1
veh10,14089,,14.1006,1,CAM,9,10,14089,-1
veh10,14137,,14.1548,1,CAM,5,10,14137,-1
veh10,14164,,14.1716,1,CAM,7,10,14164,-1
veh10,14175,,14.1868,1,CAM,4,10,14175,-1
veh10,14189,,14.2006,1,CAM,9,10,14189,-1
veh10,14224,,14.2318,1,CAM,3,10,14224,-1
veh10,14123,,14.2371,1,CAM,2,10,14123,-1
veh10,14234,,14.2391,1,CAM,6,10,14234,-1
veh10,14237,,14.2548,1,CAM,5,10,14237,-1
veh10,14264,,14.2716,1,CAM,7,10,14264,-1
veh10,14270,,14.2751,1,CAM,11,10,14270,-1
veh10,14275,,14.2868,1,CAM,4,10,14275,-1
veh10,14289,,14.2903,1,CAM,9,10,14289,-1
veh10,14334,,14.3391,1,CAM,6,10,14334,-1
veh10,14337,,14.3548,1,CAM,5,10,14337,-1
veh10,14370,14.3708,,0,CAM,10,,14370,-1
veh10,14364,,14.3716,1,CAM,7,10,14364,-1
